Phi,Psi,end_state,Energy,CASPT2_Energy,MS_CASPT2_Energy,MS_CASPT2_Highest_Occupation,MS_CASPT2_Occupation_Weight,MS_CASPT2_Occupation_Coeff,Config,Coeff,Weight,Dipole Moment,start_state,CASPT2_Energy_Difference_eV,MS_CASPT2_Energy_Difference_eV,Dx_Debyes,Dy_Debyes,Dz_Debyes,TotalD_Debyes
0,0,1,-453.93955,-455.3710983633,-455.37498565,22222200,0.937794,0.968398,22222200,0.96154,0.92457,5.3484,1,0.0,0.0,,,,
0,0,2,-453.721237,-455.1512827561,-455.15091166,222u22d0,0.857879,0.926218,222u22d0,0.95202,0.90635,4.1906,1,5.981490413762592,6.097366971485056,0.06376020114066122,0.021045538840429426,-0.1391716626509699,0.15452193892074337
0,0,3,-453.708729,-455.15514503,-455.15554852,22u2220d,0.841606,0.917391,22u2220d,0.94826,0.89919,4.1713,1,5.876392533759037,5.971191519280918,0.026787334543125537,0.0029025537290065474,-0.2198496129173275,0.22149455618925626
0,0,4,-453.633875,-455.1313554467,-455.12592126,2u22220d,0.693377,-0.832693,2u22220d,-0.75301,0.56703,2.3072,1,6.523740400769071,6.777390742046025,-2.096268627241674,-0.7747322267292913,-0.26567872900654715,2.2505860070757597
0,0,5,-453.629853,-455.0918226987,-455.08801098,22222u0d,0.878502,0.937284,22222u0d,0.86689,0.7515,8.487,1,7.5994818196962495,7.808982535238175,-1.4112807327884185,0.779556822109715,-0.050730242771745766,1.6130702721524135
0,0,6,-453.610335,-455.1067209235,-455.13521255,22222ud0,0.654708,-0.809141,22222ud0,-0.55297,0.30578,4.3159,1,7.194080265373734,6.52456173333944,3.750807180472531,0.6437371243544386,0.5712025639461592,3.848275512382579
0,0,6,-453.610335,-455.1067209235,-455.08341828,222u220d,0.84234,-0.917791,222u220d,-0.65132,0.42422,4.3159,1,7.194080265373734,7.933956332017882,3.750807180472531,0.6437371243544386,0.5712025639461592,3.848275512382579
0,0,7,-453.606381,-455.1065836933,-455.13521255,22222ud0,0.654708,-0.809141,22222ud0,0.60605,0.3673,3.7481,1,7.197814491237531,6.52456173333944,-3.6462734842015374,-1.025598160912529,-0.6243447831523729,3.8388759098857306
0,0,7,-453.606381,-455.1065836933,-455.08341828,222u220d,0.84234,-0.917791,222u220d,-0.64111,0.41103,3.7481,1,7.197814491237531,7.933956332017882,-3.6462734842015374,-1.025598160912529,-0.6243447831523729,3.8388759098857306
0,270,1,-453.952109,-455.3699178302,-455.37341506,22222200,0.901393,-0.949417,22222200,-0.94157,0.88655,5.1528,1,0.0,0.0,,,,
0,270,2,-453.747422,-455.1656778198,-455.16607474,2222u2d0,0.851903,0.922986,2222u2d0,0.93637,0.87679,3.4999,1,5.55765661899816,5.642020383648391,-0.26214997610914564,0.042888480033345534,-0.12434456457647107,0.29329780458297755
0,270,3,-453.741443,-455.1611634474,-455.16135095,22222u0d,0.867541,0.931419,22222u0d,0.92625,0.85794,3.4605,1,5.680499012124175,5.770561322854775,0.015773465266764264,-0.00407086906795169,0.16375130027245743,0.16455960183603757
0,270,4,-453.630526,-455.1171219463,-455.11801342,222u220d,0.808948,0.899415,222u220d,0.8359,0.69872,6.4258,1,6.878929915155861,6.949836186696063,0.013105839865194584,0.07852101937700785,-3.7122168425440205,3.713070305192957
0,270,5,-453.622364,-455.1255886067,-455.12544915,22u222d0,0.748887,0.865382,22u222d0,0.85711,0.73463,6.4543,1,6.648540232348368,6.7474995633741335,-3.5209609714936363,1.3310005286486928,-0.42032347200195197,3.7875322272376075
0,270,6,-453.609756,-455.067834618,-455.05144624,2222u20d,0.536363,0.732368,2222u20d,-0.62359,0.38887,6.8161,1,8.220107120458776,8.761222348547866,-1.1726400614045789,0.8511399394087269,-0.004549815354194625,1.448980544203164
0,270,7,-453.600292,-455.0560173559,-455.06757206,22u2220d,0.613715,-0.7834,22u2220d,-0.70726,0.50022,8.1565,1,8.541671366366984,8.322416210201048,0.297828023972185,0.25436562411044694,-0.6986095497336425,0.8009111717701598
0,285,1,-453.950898,-455.3697583431,-455.37231632,22222200,0.907257,0.952501,22222200,0.94767,0.89809,5.3595,1,0.0,0.0,,,,
0,285,2,-453.747233,-455.1666629083,-455.16711459,2222u2d0,0.849235,0.92154,2222u2d0,0.93803,0.8799,3.6503,1,5.526511114516473,5.583826355721969,0.28497539241999104,-0.016546610014842828,0.07937121329958116,0.29628458328250173
0,285,3,-453.737216,-455.1613930712,-455.16159747,22u2220d,0.821207,-0.906205,22u2220d,-0.90356,0.81642,3.6528,1,5.669910759779467,5.7339549148894,0.020849701821804727,0.011856828514497176,0.18052339778780857,0.1821098338823147
0,285,4,-453.629971,-455.1171114249,-455.1157258,222u220d,0.774914,0.880292,222u220d,0.83849,0.70306,6.345,1,6.874876349907866,6.982187275927313,1.6977930721605468,0.1394511805640275,3.4252174321906392,3.825449325972917
0,285,5,-453.624847,-455.1284447913,-455.12828472,22222ud0,0.766826,0.875686,22222ud0,0.85837,0.73679,6.6829,1,6.566479583449874,6.6404414802392155,3.579713055589443,-1.2130533477695093,-0.6491318139766582,3.8349988308730842
0,285,6,-453.608101,-455.0692813017,-455.06900605,22222u0d,0.735014,0.857329,22222u0d,0.77351,0.59831,8.9177,1,8.176400964351204,8.253497081077924,-0.6852301451750641,0.6516462552356554,-0.513110479952015,1.0758557322801026
0,285,7,-453.59616,-455.0522639678,-455.05087087,2222u20d,0.620527,0.787736,2222u20d,0.70166,0.49232,7.8207,1,8.639466444038055,8.746980718129969,-0.4689951786222602,0.03128423788174536,0.49462880982879914,0.6823436394412591
0,300,1,-453.944574,-455.3691298368,-455.37111586,22222200,0.927943,-0.963298,22222200,-0.96003,0.92166,4.9597,1,0.0,0.0,,,,
0,300,2,-453.744795,-455.1699330922,-455.1707005,2222u2d0,0.847389,-0.920537,2222u2d0,-0.94552,0.89401,3.8409,1,5.420422296009649,5.453582527103059,-0.32509764243015743,0.05039724035216136,-0.07390285826115246,0.33717946352324024
0,300,3,-453.721887,-455.1606750406,-455.16090498,22u2220d,0.731455,0.855252,22u2220d,0.8827,0.77916,3.405,1,5.672346841317885,5.7201323400313715,-0.09318178627343338,-0.10324407735553659,-0.22038174764141355,0.26059604631775857
0,300,4,-453.63722,-455.130320712,-455.12530806,222u220d,0.607303,0.779296,222u220d,0.74991,0.56236,4.4178,1,6.498330618583093,6.6887743689190735,-2.966023570615266,-0.38901542993371563,-2.840001092879509,4.124831518645033
0,300,5,-453.62483,-455.1280398329,-455.13515948,22222ud0,0.687485,0.829147,22222ud0,0.77145,0.59513,4.1018,1,6.560396532124802,6.4207034387305795,2.9174956284819653,-0.6680092920174048,-1.0032727166443007,3.1566712415111224
0,300,6,-453.613735,-455.0806858341,-455.07677312,22222u0d,0.760811,0.872245,22222u0d,0.82331,0.67784,8.822,1,7.84896513507166,8.009478035235741,1.7858619718596234,-0.2024749265483307,1.0565829215973324,2.084866073970152
0,300,7,-453.594125,-455.0592130626,-455.05803541,2222u20d,0.694117,0.833137,2222u20d,0.8241,0.67914,10.196,1,8.433269309466398,8.519357357129255,-0.6345547888455126,0.5071012158919931,0.3028697211378147,0.8669149282257737
0,315,1,-453.941554,-455.3699148199,-455.37206405,22222200,0.932624,0.965724,22222200,0.96161,0.92469,5.1608,1,0.0,0.0,,,,
0,315,2,-453.737119,-455.1654154137,-455.16596514,2222u2d0,0.868277,-0.931814,2222u2d0,-0.95312,0.90844,4.1057,1,5.564715141870682,5.6082398795734605,-0.27978327691025173,0.06312779319669799,0.009550047756292953,0.28697561607905336
0,315,3,-453.714729,-455.1580746182,-455.15828082,22u2220d,0.849993,-0.921951,22u2220d,-0.9335,0.87143,3.6198,1,5.764468464539364,5.817340984821728,-0.08776800658777603,-0.0913311112297182,-0.20925295534951815,0.24460456696555655
0,315,4,-453.638451,-455.1347262716,-455.12620344,222u220d,0.668273,-0.817479,222u220d,-0.73868,0.54564,3.3984,1,6.399809663209509,6.690211402954612,0.22067161359847098,0.11885769539668986,0.7638202619860925,0.8038933425846855
0,315,5,-453.622919,-455.0855450721,-455.08238741,22222u0d,0.796938,0.892714,22222u0d,0.88393,0.78133,9.418,1,7.738098955284522,7.882506921695509,-2.2344904589077306,0.5914601708958562,1.0426714194217397,2.535731931905982
0,315,6,-453.618743,-455.1292725205,-455.13988124,22222ud0,0.643371,-0.802104,22222ud0,0.76806,0.58992,4.37,1,6.548213865891835,6.318019316033549,-4.509740758814201,-0.7673800679110244,-2.3422362551339924,5.139329200723843
0,315,7,-453.600803,-455.0669269203,-455.06509354,2222u20d,0.72296,0.850271,2222u20d,0.83876,0.70352,10.364,1,8.244724931175384,8.353097335813596,0.8140872270342809,-0.6150701120328577,-0.1735706620308243,1.034976345512586
0,330,1,-453.940218,-455.3708399268,-455.372906,22222200,0.934843,-0.966873,22222200,-0.96171,0.92489,5.3398,1,0.0,0.0,,,,
0,330,2,-453.729177,-455.1590516125,-455.15937893,22222ud0,0.877412,-0.936703,22222ud0,-0.95443,0.91093,4.2249,1,5.763056535743253,5.810370512597941,-0.19105760872880326,0.06668791173600098,0.08947523433369933,0.2212602651884836
0,330,3,-453.710269,-455.1557013376,-455.15582069,22u2220d,0.869312,-0.932369,22u2220d,-0.94195,0.88727,3.8992,1,5.854222206155972,5.907195204534432,-0.04994174520149648,-0.04142211174820057,-0.20736049393070635,0.21727481141474525
0,330,4,-453.637299,-455.1343669062,-455.12251941,222u220d,0.576353,-0.759179,222u220d,-0.70928,0.50308,2.5556,1,6.434761952754505,6.813369655126138,1.6391879930665694,0.4601528252206092,-0.08469386742100769,1.7046556692489123
0,330,5,-453.627312,-455.086507772,-455.08511405,2222u20d,0.820058,-0.905571,2222u20d,-0.88055,0.77537,8.9771,1,7.737075997124272,7.831221868229587,1.622490321662397,-0.6924502079012648,-0.8664373907120493,1.9653691467406778
0,330,6,-453.614282,-455.1261292704,-455.13894769,2222u2d0,0.549868,0.741531,2222u2d0,-0.81277,0.66059,4.4928,1,6.658919555563024,6.366333156733765,4.970827004798504,1.079917533345533,1.6288564337562523,5.3412092330527425
0,330,7,-453.605598,-455.0704589854,-455.06836905,22222u0d,0.768529,0.876658,22222u0d,0.85675,0.73402,10.578,1,8.173785948811,8.28687676122998,0.9720048671261844,-0.4551206030661624,-0.043746232615591074,1.074170357041194
0,345,1,-453.935633,-455.3692376974,-455.37101728,22222200,0.936406,0.967681,22222200,0.96234,0.92609,5.6562,1,0.0,0.0,,,,
0,345,2,-453.715553,-455.1485901762,-455.14834242,2222u2d0,0.841765,-0.917477,2222u2d0,-0.95173,0.90578,4.4238,1,6.004127958382263,6.0592946854035565,0.09457083307917531,-0.01303048681428165,-0.12353076506648775,0.15611946062583873
0,345,3,-453.705176,-455.1528028667,-455.15330364,22u2220d,0.83185,0.912058,22u2220d,0.94281,0.8889,4.1391,1,5.889494752111404,5.924292943495987,0.009222127328087512,-0.02400604448782075,0.21405305523362209,0.21559231959863365
